# Mueller et al. PRC83,054615, 2011
# Norm error from A.A. Hahn et al, PLB218,365,1989
# stat errors are taken from the derived values based on A.A. Hahn et al
# I found stat error inconsistent with A.A. Hahn et al
#E      Beta    Nneu    stat        Conv Ac,w    Norm   Tot
2.00    -0.04   1.27    0.456735    1.0  0.5    1.76829 2.2
2.25    0.10    1.07    0.450921    1.0  0.5    1.76829 2.2
2.50    -0.11   9.06E-1 0.705844    1.0  0.5    1.76829 2.2
2.75    0.00    7.63E-1 0.806564    1.0  0.5    1.76829 2.2
3.00    0.24    6.39E-1 0.893157    1.0  0.5    1.76829 2.2
3.25    0.98    5.31E-1 0.88991     1.0  0.5    1.76829 2.2
3.50    0.65    4.33E-1 0.884786    1.0  1.0    1.76829 2.4
3.75    0.49    3.51E-1 0.956314    1.0  1.0    1.76829 2.4
4.00    -0.09   2.82E-1 1.02032     1.0  1.0    1.76829 2.5
4.25    0.02    2.18E-1 1.16529     1.5  1.0    1.76829 2.7
4.50    -1.26   1.65E-1 1.29859     1.5  1.0    1.76829 2.8
4.75    -0.80   1.22E-1 1.36584     1.5  1.0    1.76829 2.8
5.00    -0.48   9.59E-2 1.43073     1.5  1.5    1.76829 3.1
5.25    -0.92   7.36E-2 1.6556      1.5  1.5    1.76829 3.1
5.50    -0.93   5.52E-2 1.8645      3.0  1.5    1.76829 4.3
5.75    -0.07   4.01E-2 2.15399     3.0  2.0    1.76829 4.5
6.00    1.69    2.81E-2 2.42671     3.0  2.0    1.76829 4.7
6.25    0.77    2.04E-2 2.60488     3.0  2.0    1.76829 4.7
6.50    0.10    1.50E-2 2.77906     3.0  2.0    1.76829 4.9
6.75    -0.94   1.07E-2 3.10829     3.0  2.0    1.76829 4.9
7.00    -0.32   7.20E-3 3.32639     3.0  2.0    1.95122 5.3
7.25    -1.23   4.47E-3 3.54289     3.0  2.0    1.95122 5.3
7.50    -0.96   2.54E-3 3.7469      3.0  2.5    1.95122 5.7
7.75    -1.07   1.65E-3 4.71369     3.0  2.5    1.95122 5.7
8.00    -1.55   9.63E-4 5.64675     3.0  2.5    1.95122 7.0

